job_id,stage,batch_size,block_ms_per_batch_step,calibration_multiplication_included,family,fitted_global_multiplier_count,grid,kind,max_ms_per_batch_step,median_ms_per_batch_step,min_ms_per_batch_step,parameter_count,parameter_count_convention,prior,timing_source,weights
development__wave__coefficient,development,1,"[0.65660935, 0.66305005, 0.6296057, 0.62854205, 0.6445056]",False,wave,0,32,fno,0.66305005,0.6445056,0.62854205,210306,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__wave__correct,development,1,"[0.2296089, 0.23814025, 0.23972015, 0.23778075, 0.2278112]",False,wave,0,32,physics_uncalibrated,0.23972015,0.23778075,0.2278112,,,correct,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
development__wave__correct,development,1,"[0.2396651, 0.2288698, 0.24059395, 0.22731345, 0.2441253]",True,wave,3,32,physics_calibrated,0.2441253,0.2396651,0.22731345,,,correct,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
development__wave__correct,development,1,"[1.08567785, 1.0985367, 1.06313645, 1.09802445, 1.0969478]",False,wave,0,32,transformer,1.0985367,1.0969478,1.06313645,101122,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__wave__correct,development,1,"[1.0760559, 1.0743703, 1.0811916, 1.0508099, 1.08349155]",False,wave,0,32,looped,1.08349155,1.0760559,1.0508099,34178,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__wave__correct,development,1,"[0.62590165, 0.62975395, 0.6303313, 0.6409984, 0.6216022]",False,wave,0,32,fno,0.6409984,0.62975395,0.6216022,210306,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
resolution_g32__advection_diffusion__coefficient,resolution_g32,1,"[0.19752565, 0.2033424, 0.1954766, 0.2010685, 0.1891676]",False,advection_diffusion,0,32,physics_uncalibrated,0.2033424,0.19752565,0.1891676,,,coefficient,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
resolution_g32__advection_diffusion__coefficient,resolution_g32,1,"[0.2170991, 0.19098235, 0.208736, 0.1885852, 0.20291775]",True,advection_diffusion,3,32,physics_calibrated,0.2170991,0.20291775,0.1885852,,,coefficient,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
resolution_g32__advection_diffusion__coefficient,resolution_g32,1,"[1.0896043, 1.0886318, 1.07721635, 1.0543347, 1.0747539]",False,advection_diffusion,0,32,transformer,1.0896043,1.07721635,1.0543347,100993,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
resolution_g32__advection_diffusion__coefficient,resolution_g32,1,"[1.0909087, 1.0811806, 1.06731875, 1.05250845, 1.06477295]",False,advection_diffusion,0,32,looped,1.0909087,1.06731875,1.05250845,34049,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
resolution_g32__advection_diffusion__coefficient,resolution_g32,1,"[0.6298947, 0.6275807, 0.62972735, 0.6270729, 0.62300575]",False,advection_diffusion,0,32,fno,0.6298947,0.6275807,0.62300575,209985,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
resolution_g32__advection_diffusion__correct,resolution_g32,1,"[0.189108, 0.19712505, 0.19622075, 0.20130385, 0.1853428]",False,advection_diffusion,0,32,physics_uncalibrated,0.20130385,0.19622075,0.1853428,,,correct,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
resolution_g32__advection_diffusion__correct,resolution_g32,1,"[0.20336345, 0.1877074, 0.20083365, 0.1889783, 0.20389275]",True,advection_diffusion,3,32,physics_calibrated,0.20389275,0.20083365,0.1877074,,,correct,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
resolution_g32__advection_diffusion__correct,resolution_g32,1,"[1.06205785, 1.07894275, 1.06334375, 1.06387855, 1.08573995]",False,advection_diffusion,0,32,transformer,1.08573995,1.06387855,1.06205785,100993,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
resolution_g32__advection_diffusion__correct,resolution_g32,1,"[1.0594709, 1.0767424, 1.0642171, 1.0667664, 1.0663989]",False,advection_diffusion,0,32,looped,1.0767424,1.0663989,1.0594709,34049,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
