stage,grid,family,prior,kind,arm,split,horizon,n_seeds,n_trajectories,mean_nmse,ci95_low,ci95_high,normalized_rmse,mean_training_validation_seconds,fixed_choice_setup_train_bank_seconds,median_inference_ms_per_step
development,32,advection_diffusion,correct,looped,response_matched,ood,64,6,64,10.185364562243032,1.545124120993687,25.838335383819977,3.1914517953813797,69.97939420336236,71.3990755409468,1.5375075512565672
development,32,advection_diffusion,correct,looped,response_matched,ood,96,6,64,27.072844847825607,2.5400595429966053,68.19202216546655,5.203157199991713,69.97939420336236,71.3990755409468,1.5375075512565672
development,32,advection_diffusion,correct,looped,smooth,test,64,6,64,0.4634224528078173,0.0037268997209892875,1.5345055013956859,0.6807513883994782,69.93041624121058,71.35016499886599,1.5397191047668457
development,32,advection_diffusion,correct,looped,smooth,test,96,6,64,7.3168939051749815,0.005441773499090115,23.034690911701848,2.704975767945987,69.93041624121058,71.35016499886599,1.5397191047668457
development,32,advection_diffusion,correct,looped,smooth,ood,64,6,64,23.49456692778953,2.0603107422113887,53.86725710048311,4.847119446412429,69.93041624121058,71.35016499886599,1.5397191047668457
development,32,advection_diffusion,correct,looped,smooth,ood,96,6,64,52.81034812240576,3.095238170821377,123.27510579196094,7.267072871686768,69.93041624121058,71.35016499886599,1.5397191047668457
development,32,advection_diffusion,correct,transformer,iid,test,64,6,64,0.002481551997572995,0.0017919979131699453,0.0033425383944749817,0.04981517838543786,72.33967783891906,73.76297706109472,1.5483743511140347
development,32,advection_diffusion,correct,transformer,iid,test,96,6,64,0.003602002790016237,0.0022502639578138167,0.005727623672872697,0.06001668759616976,72.33967783891906,73.76297706109472,1.5483743511140347
development,32,advection_diffusion,correct,transformer,iid,ood,64,6,64,1.2561389718037173,0.8141205897276602,1.699534891922309,1.1207760578294477,72.33967783891906,73.76297706109472,1.5483743511140347
development,32,advection_diffusion,correct,transformer,iid,ood,96,6,64,1.6506100901189058,0.9530430246413443,2.3344647692423948,1.284760713175378,72.33967783891906,73.76297706109472,1.5483743511140347
development,32,advection_diffusion,correct,transformer,none,test,64,6,64,0.002642837333670008,0.0020387734683272713,0.00338563407705146,0.05140853366582253,42.67953908645237,42.722266539620854,1.5533850877545774
development,32,advection_diffusion,correct,transformer,none,test,96,6,64,0.0038178056507215392,0.002588159537018066,0.0052777287244593265,0.06178839414260205,42.67953908645237,42.722266539620854,1.5533850877545774
development,32,advection_diffusion,correct,transformer,none,ood,64,6,64,1.1577025875452118,0.8648397347227926,1.561443968736467,1.0759658858649803,42.67953908645237,42.722266539620854,1.5533850877545774
development,32,advection_diffusion,correct,transformer,none,ood,96,6,64,1.4624164011937195,0.9755150970369191,2.1475763127275806,1.2093040978983407,42.67953908645237,42.722266539620854,1.5533850877545774
development,32,advection_diffusion,correct,transformer,response_matched,test,64,6,64,0.0029761873766303015,0.0018629523102857842,0.004495744692575649,0.054554444151052456,72.95189055451192,74.37513144073698,1.543921569827944
development,32,advection_diffusion,correct,transformer,response_matched,test,96,6,64,0.004368465922635018,0.0021408838751218783,0.008058220731733375,0.06609437133852639,72.95189055451192,74.37513144073698,1.543921569827944
development,32,advection_diffusion,correct,transformer,response_matched,ood,64,6,64,1.3619347201686953,0.8558997513339077,1.9050984803599675,1.1670195885968218,72.95189055451192,74.37513144073698,1.543921569827944
development,32,advection_diffusion,correct,transformer,response_matched,ood,96,6,64,1.8242473760702118,1.0079120005463953,2.711662605791523,1.3506470212717354,72.95189055451192,74.37513144073698,1.543921569827944
development,32,advection_diffusion,correct,transformer,smooth,test,64,6,64,0.0020983857733757974,0.001532840111593874,0.0027775267912644014,0.045808140907220816,72.88749042750958,74.31129602420454,1.556385587900877
development,32,advection_diffusion,correct,transformer,smooth,test,96,6,64,0.00260247599282793,0.001787753916072332,0.0037847226823640415,0.051014468465602286,72.88749042750958,74.31129602420454,1.556385587900877
development,32,advection_diffusion,correct,transformer,smooth,ood,64,6,64,1.2974756762536164,0.9208426309363831,1.8213728071436013,1.1390678979997708,72.88749042750958,74.31129602420454,1.556385587900877
development,32,advection_diffusion,correct,transformer,smooth,ood,96,6,64,1.6846851553968698,1.0329776641090118,2.5972894645439766,1.2979542192993057,72.88749042750958,74.31129602420454,1.556385587900877
development,32,allen_cahn,coefficient,fno,iid,test,64,6,64,0.00042324915638537394,0.00015979362318565277,0.0009564345381816019,0.020573020108515278,41.970619364796825,44.899466254748404,1.238400221336633
development,32,allen_cahn,coefficient,fno,iid,test,96,6,64,0.0005521611146695973,0.0002569126383345908,0.0010905004497386006,0.023498108746654426,41.970619364796825,44.899466254748404,1.238400221336633
development,32,allen_cahn,coefficient,fno,iid,ood,64,6,64,0.0034978818932210887,0.0022300210137341987,0.0049587781271303024,0.05914289385227179,41.970619364796825,44.899466254748404,1.238400221336633
development,32,allen_cahn,coefficient,fno,iid,ood,96,6,64,0.006930265596734364,0.004264156348448308,0.009965556374747202,0.08324821677810501,41.970619364796825,44.899466254748404,1.238400221336633
development,32,allen_cahn,coefficient,fno,none,test,64,6,64,0.016806808686309644,0.007826513392606437,0.02643578108981704,0.12964107638518604,24.77128365286626,24.80513102320644,1.242835191078484
development,32,allen_cahn,coefficient,fno,none,test,96,6,64,0.037486932199779444,0.015885203063495203,0.06082781169943966,0.19361542345531113,24.77128365286626,24.80513102320644,1.242835191078484
development,32,allen_cahn,coefficient,fno,none,ood,64,6,64,0.029298709697683476,0.01573022895922784,0.04637807318951701,0.17116865863143135,24.77128365286626,24.80513102320644,1.242835191078484
development,32,allen_cahn,coefficient,fno,none,ood,96,6,64,0.06641230115740641,0.03367420445639215,0.107081261655686,0.257705842303597,24.77128365286626,24.80513102320644,1.242835191078484
development,32,allen_cahn,coefficient,fno,response_matched,test,64,6,64,0.00028121050900853487,0.00014778154346057094,0.0005205873220282187,0.01676933239602981,42.17218142383111,45.10113978626517,1.2430222006514668
development,32,allen_cahn,coefficient,fno,response_matched,test,96,6,64,0.0003836858684508962,0.00023195535192532287,0.0006466790141186163,0.01958790107313431,42.17218142383111,45.10113978626517,1.2430222006514668
development,32,allen_cahn,coefficient,fno,response_matched,ood,64,6,64,0.002858958169413677,0.0016146560503294554,0.004337671908032535,0.05346922637754989,42.17218142383111,45.10113978626517,1.2430222006514668
development,32,allen_cahn,coefficient,fno,response_matched,ood,96,6,64,0.005688780663900072,0.003072362183185381,0.008780773481431843,0.07542400588605774,42.17218142383111,45.10113978626517,1.2430222006514668
development,32,allen_cahn,coefficient,fno,smooth,test,64,6,64,0.000584530824661287,0.0003230078012217713,0.001024170967288924,0.024177072293007005,42.249166880501434,45.177906030711405,1.2522101984359324
development,32,allen_cahn,coefficient,fno,smooth,test,96,6,64,0.0009197637223500888,0.000610238889534057,0.001394707571372949,0.030327606604380913,42.249166880501434,45.177906030711405,1.2522101984359324
development,32,allen_cahn,coefficient,fno,smooth,ood,64,6,64,0.0044239158787631044,0.0022475258811876842,0.007571178054922594,0.06651252422486388,42.249166880501434,45.177906030711405,1.2522101984359324
development,32,allen_cahn,coefficient,fno,smooth,ood,96,6,64,0.00857714303543547,0.004039387143525216,0.015196188277141746,0.09261286646808568,42.249166880501434,45.177906030711405,1.2522101984359324
development,32,allen_cahn,coefficient,looped,iid,test,64,6,64,0.0028180495824711347,0.0017808827289962342,0.004210822323793383,0.0530853047695041,70.21883572288789,73.15220788920608,1.5392142231576145
development,32,allen_cahn,coefficient,looped,iid,test,96,6,64,0.0043318775553433785,0.0029636283348039925,0.006096169851579552,0.0658170005039988,70.21883572288789,73.15220788920608,1.5392142231576145
development,32,allen_cahn,coefficient,looped,iid,ood,64,6,64,0.3292556193290717,0.21579726756487452,0.49422930776534874,0.5738079986625071,70.21883572288789,73.15220788920608,1.5392142231576145
development,32,allen_cahn,coefficient,looped,iid,ood,96,6,64,0.6536713489293325,0.4233238308908303,0.948299277323653,0.8084994427514051,70.21883572288789,73.15220788920608,1.5392142231576145
development,32,allen_cahn,coefficient,looped,none,test,64,6,64,0.004818466871804557,0.003133637845994937,0.007316805357099073,0.06941517753203946,38.45743158824431,38.49564117022479,1.579642458818853
development,32,allen_cahn,coefficient,looped,none,test,96,6,64,0.006080767397885853,0.004273742800297641,0.008962406052289481,0.07797927543832305,38.45743158824431,38.49564117022479,1.579642458818853
development,32,allen_cahn,coefficient,looped,none,ood,64,6,64,0.16448091802431222,0.06908706239058116,0.3130581922734155,0.405562471173446,38.45743158824431,38.49564117022479,1.579642458818853
development,32,allen_cahn,coefficient,looped,none,ood,96,6,64,0.3677123672627622,0.13644704414460984,0.7258771727270608,0.6063929149180111,38.45743158824431,38.49564117022479,1.579642458818853
development,32,allen_cahn,coefficient,looped,response_matched,test,64,6,64,0.003057443400623666,0.0016957508389770165,0.005504614741844589,0.05529415340362547,69.89342529846665,72.82716873831426,1.5385342063382268
