stage,grid,family,prior,kind,arm,split,horizon,n_seeds,n_trajectories,mean_nmse,ci95_low,ci95_high,normalized_rmse,mean_training_validation_seconds,fixed_choice_setup_train_bank_seconds,median_inference_ms_per_step
development,32,ks,correct,fno,smooth,test,64,6,64,0.01478723677948623,0.006202985263673307,0.030414182737217934,0.12160278277854594,42.28679179446772,45.49646694865078,1.2403515516780317
development,32,ks,correct,looped,none,test,64,6,64,0.6417590423799143,0.3268450400327523,1.1420160729420803,0.8010986470965448,39.15360099279011,39.191879835290216,1.5545718488283455
development,32,ks,correct,looped,smooth,test,64,6,64,0.4323190522320918,0.29807715696269405,0.6181152296611867,0.657509735465637,69.94277446072859,73.15604692061122,1.5608950867317617
development,32,ks,correct,transformer,none,test,64,6,64,0.9422128653470313,0.5717301553123569,1.3868517307637804,0.9706764988125711,42.853026484604925,42.89551488837848,1.5553328092209995
development,32,ks,correct,transformer,smooth,test,64,6,64,0.9132761658862106,0.5807520400937245,1.3016328945808613,0.9556548361653441,73.35965639694284,76.57736987077321,1.547532097902149
resolution_g64,64,advection_diffusion,coefficient,fno,none,test,64,4,64,0.000446428768592374,0.0003454550324815901,0.0005556332197084074,0.021128861033959546,25.24184072529897,25.27669225016143,1.2602917035110295
resolution_g64,64,advection_diffusion,coefficient,fno,smooth,test,64,4,64,0.002054883564123682,0.0014517700564916415,0.0028014155000407512,0.04533082355443901,42.724939395091496,44.390321906423196,1.2656769715249538
resolution_g64,64,advection_diffusion,coefficient,looped,none,test,64,4,64,0.0038629084201143304,0.0032006666509550863,0.004553233666159449,0.06215230019970565,39.47785142553039,39.51699979859404,1.5799159067682922
resolution_g64,64,advection_diffusion,coefficient,looped,smooth,test,64,4,64,0.009022392936275547,0.0065266473423423454,0.012203831165441796,0.09498627762090452,70.45912540215068,72.1309570746962,1.5966489329002798
resolution_g64,64,advection_diffusion,coefficient,transformer,none,test,64,4,64,0.0016290375265280987,0.0012536186823462851,0.0020561341576616756,0.04036133702602156,43.16542616253719,43.210153258172795,1.5793664031662047
resolution_g64,64,advection_diffusion,coefficient,transformer,smooth,test,64,4,64,0.007364762067045505,0.0036851386305158,0.011961527431657185,0.08581819193530883,73.16627737646922,74.84102866833564,1.578871684614569
resolution_g64,64,advection_diffusion,correct,fno,none,test,64,4,64,0.0004353958452193989,0.00033507431273899,0.0005529497048054249,0.020866141119512224,25.234695325256325,25.270332995802164,1.2585432268679142
resolution_g64,64,advection_diffusion,correct,fno,smooth,test,64,4,64,0.0001507772125546301,9.596563063286734e-05,0.00022704250040455644,0.01227913728869541,42.78747345821466,44.42782523762435,1.2566967168822885
resolution_g64,64,advection_diffusion,correct,looped,none,test,64,4,64,0.0038628679517837827,0.003200654175185414,0.004553175048196715,0.062151974641066574,39.75419380236417,39.79370086174458,1.577272650320083
resolution_g64,64,advection_diffusion,correct,looped,smooth,test,64,4,64,0.004665021434605843,0.003438138960244665,0.00592880882088092,0.06830096217920976,69.83826490025967,71.4837303966051,1.5773594030179083
resolution_g64,64,advection_diffusion,correct,transformer,none,test,64,4,64,0.0016289262843475621,0.001253587788400096,0.002055911411942015,0.04035995892400737,43.15357780852355,43.19690667302348,1.5788473887369037
resolution_g64,64,advection_diffusion,correct,transformer,smooth,test,64,4,64,0.0018389460538037194,0.0013608586582871667,0.0023495676840318285,0.04288293429563466,73.77807762683369,75.42760069738142,1.5771421371027827
resolution_g64,64,allen_cahn,coefficient,fno,none,test,64,4,64,0.013463545766949534,0.009051457437316104,0.01764166442997443,0.11603252029905035,25.322841644636355,25.357245451654308,1.2894574902020395
resolution_g64,64,allen_cahn,coefficient,fno,smooth,test,64,4,64,0.000561304436022262,0.0003964510197742594,0.0008144002124598575,0.0236918643424755,43.009085569065064,46.26053974556271,1.2864567223004997
resolution_g64,64,allen_cahn,coefficient,looped,none,test,64,4,64,0.004590080832873933,0.0028906147530482914,0.0070131363725146854,0.0677501352978275,39.72885516809765,39.76842537499033,1.5772164217196405
resolution_g64,64,allen_cahn,coefficient,looped,smooth,test,64,4,64,0.0024689878878531163,0.0017385091227839517,0.003760460222891663,0.049688911115591136,70.28140836791135,73.53810877306387,1.5841952059417963
resolution_g64,64,allen_cahn,coefficient,transformer,none,test,64,4,64,0.0022382848136654754,0.0014719289948459384,0.0035114647615730908,0.04731051483196389,43.25923025631346,43.30299679376185,1.5770594240166247
resolution_g64,64,allen_cahn,coefficient,transformer,smooth,test,64,4,64,0.0014741853266620197,0.0009372984328138379,0.002325235640053793,0.03839512113097209,73.85987387935165,77.11992748454213,1.5764699317514896
resolution_g64,64,allen_cahn,correct,fno,none,test,64,4,64,0.013370710183213955,0.008983117161839416,0.01754174498339413,0.11563178707956544,25.155871438561007,25.19084601441864,1.2809042469598353
resolution_g64,64,allen_cahn,correct,fno,smooth,test,64,4,64,0.0002268041218828499,0.00015325657752853693,0.00032695066673681214,0.015060017326777878,42.59086273831781,45.87380880501587,1.2709522503428161
resolution_g64,64,allen_cahn,correct,looped,none,test,64,4,64,0.0045900809233599404,0.002890609365723581,0.007013152398540366,0.06775013596561959,39.679956153733656,39.72016127081588,1.5772016486153007
resolution_g64,64,allen_cahn,correct,looped,smooth,test,64,4,64,0.0021448376800388136,0.0014207382521990483,0.0032214245669141854,0.04631239229449083,70.0943652704591,73.38218099134974,1.5832309261895716
resolution_g64,64,allen_cahn,correct,transformer,none,test,64,4,64,0.002238284122659362,0.0014719274713807754,0.0035114639770094658,0.0473105075290824,43.22044836706482,43.26427483931184,1.574439147952944
resolution_g64,64,allen_cahn,correct,transformer,smooth,test,64,4,64,0.0013139786851761315,0.0008777813538508702,0.0019426944862081423,0.03624884391502895,73.27978719654493,76.57166629517451,1.5742623945698142
resolution_g64,64,wave,coefficient,fno,none,test,64,4,64,0.0003730382182466365,0.00031430322595749934,0.00043548840828164817,0.01931419732338459,25.218892073142342,25.25335628259927,1.3179865316487849
resolution_g64,64,wave,coefficient,fno,smooth,test,64,4,64,0.0023692450337140653,0.001652449286626942,0.0032093556932661477,0.04867489120392633,42.87336381722707,46.26552612252999,1.263430225662887
resolution_g64,64,wave,coefficient,looped,none,test,64,4,64,0.0026134766703419868,0.002110604190603206,0.0032391497726597393,0.05112217395946681,39.83101120905485,39.871266173082404,1.5768911456689239
resolution_g64,64,wave,coefficient,looped,smooth,test,64,4,64,0.005472019749735768,0.004271239919356369,0.006800820796253319,0.07397310152843241,70.77296870423015,74.16993773938157,1.5726123936474323
resolution_g64,64,wave,coefficient,transformer,none,test,64,4,64,0.002481514295221976,0.002000283813827006,0.0030271445785123117,0.049814799961677814,43.46465536742471,43.509012560825795,1.5672791516408324
resolution_g64,64,wave,coefficient,transformer,smooth,test,64,4,64,0.005897740366637538,0.004743726493823142,0.0073858257264516995,0.07679674710974117,73.92313746130094,77.32454290438909,1.5690601547248662
resolution_g64,64,wave,correct,fno,none,test,64,4,64,0.0003730363878338915,0.0003143030788525931,0.00043548840828164817,0.019314149938164285,25.427673994912766,25.46289946581237,1.3861125451512635
resolution_g64,64,wave,correct,fno,smooth,test,64,4,64,0.00013402154539991665,0.00010297617458771745,0.00017559875030157573,0.011576767484920678,42.907691781641915,46.31579996494111,1.3185827527195215
resolution_g64,64,wave,correct,looped,none,test,64,4,64,0.0026134825030961414,0.002110614179778783,0.0032391415946003105,0.0511222310066388,40.12847349839285,40.16865773766767,1.5775061445310712
resolution_g64,64,wave,correct,looped,smooth,test,64,4,64,0.0025256463027838183,0.0019409444344409281,0.0032659303575302847,0.05025580864719837,70.52978415344842,73.94338951527607,1.5831579104997218
