stage,run_id,kind,arm,family,prior,split,horizon,nonfinite_steps,steps_above_cap,affected_trajectories,raw_mean_nmse
development,advection_diffusion__fno__correct__s404__none,fno,none,advection_diffusion,correct,ood,96,0,0,0,0.17829954909541298
development,advection_diffusion__fno__correct__s404__response_matched,fno,response_matched,advection_diffusion,correct,test,64,0,0,0,0.00018440419268615088
development,advection_diffusion__fno__correct__s404__response_matched,fno,response_matched,advection_diffusion,correct,test,96,0,0,0,0.00026392043789401354
development,advection_diffusion__fno__correct__s404__response_matched,fno,response_matched,advection_diffusion,correct,ood,64,0,0,0,0.03165562716361603
development,advection_diffusion__fno__correct__s404__response_matched,fno,response_matched,advection_diffusion,correct,ood,96,0,0,0,0.0498001421625757
development,advection_diffusion__fno__correct__s404__smooth,fno,smooth,advection_diffusion,correct,test,64,0,0,0,0.00012446663784243528
development,advection_diffusion__fno__correct__s404__smooth,fno,smooth,advection_diffusion,correct,test,96,0,0,0,0.00016795702205996133
development,advection_diffusion__fno__correct__s404__smooth,fno,smooth,advection_diffusion,correct,ood,64,0,0,0,0.04801332001853953
development,advection_diffusion__fno__correct__s404__smooth,fno,smooth,advection_diffusion,correct,ood,96,0,0,0,0.07498004376104861
development,advection_diffusion__fno__correct__s505__iid,fno,iid,advection_diffusion,correct,test,64,0,0,0,0.00018044211404702123
development,advection_diffusion__fno__correct__s505__iid,fno,iid,advection_diffusion,correct,test,96,0,0,0,0.00025496071051616986
development,advection_diffusion__fno__correct__s505__iid,fno,iid,advection_diffusion,correct,ood,64,0,0,0,0.027129679670391482
development,advection_diffusion__fno__correct__s505__iid,fno,iid,advection_diffusion,correct,ood,96,0,0,0,0.04215162480749986
development,advection_diffusion__fno__correct__s505__none,fno,none,advection_diffusion,correct,test,64,0,0,0,0.0006598034868655449
development,advection_diffusion__fno__correct__s505__none,fno,none,advection_diffusion,correct,test,96,0,0,0,0.0010089817200375935
development,advection_diffusion__fno__correct__s505__none,fno,none,advection_diffusion,correct,ood,64,0,0,0,0.027658752935347808
development,advection_diffusion__fno__correct__s505__none,fno,none,advection_diffusion,correct,ood,96,0,0,0,0.0392531551832529
development,advection_diffusion__fno__correct__s505__response_matched,fno,response_matched,advection_diffusion,correct,test,64,0,0,0,0.00018072229072063628
development,advection_diffusion__fno__correct__s505__response_matched,fno,response_matched,advection_diffusion,correct,test,96,0,0,0,0.0002520518880618402
development,advection_diffusion__fno__correct__s505__response_matched,fno,response_matched,advection_diffusion,correct,ood,64,0,0,0,0.06057952244068687
development,advection_diffusion__fno__correct__s505__response_matched,fno,response_matched,advection_diffusion,correct,ood,96,0,0,0,0.10061153971891437
development,advection_diffusion__fno__correct__s505__smooth,fno,smooth,advection_diffusion,correct,test,64,0,0,0,0.00011880787617275443
development,advection_diffusion__fno__correct__s505__smooth,fno,smooth,advection_diffusion,correct,test,96,0,0,0,0.0001619545347512884
development,advection_diffusion__fno__correct__s505__smooth,fno,smooth,advection_diffusion,correct,ood,64,0,0,0,0.03608203592197945
development,advection_diffusion__fno__correct__s505__smooth,fno,smooth,advection_diffusion,correct,ood,96,0,0,0,0.05544894622628793
development,advection_diffusion__fno__correct__s606__iid,fno,iid,advection_diffusion,correct,test,64,0,0,0,0.00024527494841383723
development,advection_diffusion__fno__correct__s606__iid,fno,iid,advection_diffusion,correct,test,96,0,0,0,0.0003459436226347923
development,advection_diffusion__fno__correct__s606__iid,fno,iid,advection_diffusion,correct,ood,64,0,0,0,0.014902881468775053
development,advection_diffusion__fno__correct__s606__iid,fno,iid,advection_diffusion,correct,ood,96,0,0,0,0.020862091585989916
development,advection_diffusion__fno__correct__s606__none,fno,none,advection_diffusion,correct,test,64,0,0,0,0.00036427006463112324
development,advection_diffusion__fno__correct__s606__none,fno,none,advection_diffusion,correct,test,96,0,0,0,0.0004647400308871013
development,advection_diffusion__fno__correct__s606__none,fno,none,advection_diffusion,correct,ood,64,0,0,0,0.04755869109274258
development,advection_diffusion__fno__correct__s606__none,fno,none,advection_diffusion,correct,ood,96,0,0,0,0.07811630203788648
development,advection_diffusion__fno__correct__s606__response_matched,fno,response_matched,advection_diffusion,correct,test,64,0,0,0,0.0003632360132421811
development,advection_diffusion__fno__correct__s606__response_matched,fno,response_matched,advection_diffusion,correct,test,96,0,0,0,0.000466495153774731
development,advection_diffusion__fno__correct__s606__response_matched,fno,response_matched,advection_diffusion,correct,ood,64,0,0,0,0.013207142821029638
development,advection_diffusion__fno__correct__s606__response_matched,fno,response_matched,advection_diffusion,correct,ood,96,0,0,0,0.020872373306805102
development,advection_diffusion__fno__correct__s606__smooth,fno,smooth,advection_diffusion,correct,test,64,0,0,0,0.00013055074699245238
development,advection_diffusion__fno__correct__s606__smooth,fno,smooth,advection_diffusion,correct,test,96,0,0,0,0.00020587400861432972
development,advection_diffusion__fno__correct__s606__smooth,fno,smooth,advection_diffusion,correct,ood,64,0,0,0,0.023588346909009905
development,advection_diffusion__fno__correct__s606__smooth,fno,smooth,advection_diffusion,correct,ood,96,0,0,0,0.0364580754204753
development,advection_diffusion__looped__coefficient__s101__iid,looped,iid,advection_diffusion,coefficient,test,64,0,0,0,0.009968003468841857
development,advection_diffusion__looped__coefficient__s101__iid,looped,iid,advection_diffusion,coefficient,test,96,0,0,0,0.01342835886560086
development,advection_diffusion__looped__coefficient__s101__iid,looped,iid,advection_diffusion,coefficient,ood,64,0,0,0,2.2133220647431244
development,advection_diffusion__looped__coefficient__s101__iid,looped,iid,advection_diffusion,coefficient,ood,96,0,0,0,3.0757402844551507
development,advection_diffusion__looped__coefficient__s101__none,looped,none,advection_diffusion,coefficient,test,64,0,0,0,0.005761912947575221
development,advection_diffusion__looped__coefficient__s101__none,looped,none,advection_diffusion,coefficient,test,96,0,0,0,0.009667000159594282
development,advection_diffusion__looped__coefficient__s101__none,looped,none,advection_diffusion,coefficient,ood,64,0,0,0,3.0162991526151472
development,advection_diffusion__looped__coefficient__s101__none,looped,none,advection_diffusion,coefficient,ood,96,0,0,0,5.176483419830068
development,advection_diffusion__looped__coefficient__s101__response_matched,looped,response_matched,advection_diffusion,coefficient,test,64,0,0,0,0.00881331150463982
development,advection_diffusion__looped__coefficient__s101__response_matched,looped,response_matched,advection_diffusion,coefficient,test,96,0,0,0,0.011965114757951884
development,advection_diffusion__looped__coefficient__s101__response_matched,looped,response_matched,advection_diffusion,coefficient,ood,64,0,0,0,2.2201388150187995
development,advection_diffusion__looped__coefficient__s101__response_matched,looped,response_matched,advection_diffusion,coefficient,ood,96,0,0,0,2.925709126530516
development,advection_diffusion__looped__coefficient__s101__smooth,looped,smooth,advection_diffusion,coefficient,test,64,0,0,0,0.014562555770465835
development,advection_diffusion__looped__coefficient__s101__smooth,looped,smooth,advection_diffusion,coefficient,test,96,0,0,0,0.021026544794730505
development,advection_diffusion__looped__coefficient__s101__smooth,looped,smooth,advection_diffusion,coefficient,ood,64,0,0,0,2.326149369114603
development,advection_diffusion__looped__coefficient__s101__smooth,looped,smooth,advection_diffusion,coefficient,ood,96,0,0,0,3.657624352367634
development,advection_diffusion__looped__coefficient__s202__iid,looped,iid,advection_diffusion,coefficient,test,64,0,0,0,0.014188866384031051
development,advection_diffusion__looped__coefficient__s202__iid,looped,iid,advection_diffusion,coefficient,test,96,0,0,0,0.028516971986400463
development,advection_diffusion__looped__coefficient__s202__iid,looped,iid,advection_diffusion,coefficient,ood,64,0,0,0,3.5862631469188386
development,advection_diffusion__looped__coefficient__s202__iid,looped,iid,advection_diffusion,coefficient,ood,96,0,0,0,4.051765307569326
development,advection_diffusion__looped__coefficient__s202__none,looped,none,advection_diffusion,coefficient,test,64,0,0,0,0.002140825027523885
development,advection_diffusion__looped__coefficient__s202__none,looped,none,advection_diffusion,coefficient,test,96,0,0,0,0.0021814048620424726
development,advection_diffusion__looped__coefficient__s202__none,looped,none,advection_diffusion,coefficient,ood,64,0,0,0,1.034490339476065
development,advection_diffusion__looped__coefficient__s202__none,looped,none,advection_diffusion,coefficient,ood,96,0,0,0,1.0846821856669067
development,advection_diffusion__looped__coefficient__s202__response_matched,looped,response_matched,advection_diffusion,coefficient,test,64,0,0,0,0.009764464116703397
development,advection_diffusion__looped__coefficient__s202__response_matched,looped,response_matched,advection_diffusion,coefficient,test,96,0,0,0,0.013018408447401281
development,advection_diffusion__looped__coefficient__s202__response_matched,looped,response_matched,advection_diffusion,coefficient,ood,64,0,0,0,2.407161735299894
development,advection_diffusion__looped__coefficient__s202__response_matched,looped,response_matched,advection_diffusion,coefficient,ood,96,0,0,0,2.577935140160169
development,advection_diffusion__looped__coefficient__s202__smooth,looped,smooth,advection_diffusion,coefficient,test,64,0,0,0,0.9496447077555716
