stage,grid,family,prior,split,horizon,candidate_kind,candidate_arm,baseline_kind,baseline_arm,candidate_mean_nmse,baseline_mean_nmse,difference_nmse,difference_ci95_low,difference_ci95_high,ratio_of_arithmetic_means,ratio_ci95_low,ratio_ci95_high,interpretation,scope
development,32,advection_diffusion,coefficient,test,64,looped,smooth,transformer,smooth,0.6154627709056067,0.005886501893033784,0.609576269012573,0.0044427594459446355,1.6418575551591468,104.55492618357245,1.6432778220219002,318.98135108353085,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,64,looped,smooth,looped,none,0.6154627709056067,0.12916381224012002,0.4862989586654867,0.00607360284222563,1.2661869407484199,4.764978365313653,2.1503910383354,113.8295324003591,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,96,looped,smooth,mechanistic,,6.466729805571988,0.7447897696842862,5.721940035887702,-0.7697779438438975,17.848428550145368,8.68262437105334,0.024440640103077706,24.960721830132965,interval_includes_zero,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,96,looped,smooth,transformer,smooth,6.466729805571988,0.008226187886307714,6.45850361768568,0.00832648176942293,18.682053798917696,786.1150140195192,1.792094689180574,2796.927645112953,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,96,looped,smooth,looped,none,6.466729805571988,4.02097421098805,2.4457555945839378,0.009217062746123243,6.46691836194358,1.6082495102556147,1.237090224704272,365.47167856857664,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,64,transformer,iid,mechanistic,,1.1793981179517015,0.5686829936930753,0.6107151242586262,0.22320476433110917,1.00783154264097,2.07391135488788,1.3862060341834899,2.8657992830985406,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,96,transformer,iid,mechanistic,,1.5023045689203733,0.7019240169255561,0.8003805519948173,0.20985461193518476,1.4046986207345773,2.1402666566397075,1.2929943898976273,3.1075631713534593,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,64,transformer,iid,mechanistic,,0.004330061106250153,0.5313244237183632,-0.5269943626121131,-0.6313785909769406,-0.42645226459379293,0.008149561572846818,0.006542537369871811,0.010165117978767122,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,96,transformer,iid,mechanistic,,0.005758860334432934,0.7447897696842862,-0.7390309093498533,-0.8788752917235337,-0.6032661305679445,0.0077321958072465126,0.00585122376665163,0.009974883609533147,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,64,transformer,none,mechanistic,,1.1576989852044715,0.5686829936930753,0.5890159915113962,0.32187440096330594,0.9743868277894103,2.0357545381940767,1.5364027316578086,2.7984951750918534,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,96,transformer,none,mechanistic,,1.462410404479139,0.7019240169255561,0.760486387553583,0.2796221880799024,1.4332083636211128,2.083431210809015,1.3860640939481876,3.137916942710083,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,64,transformer,none,mechanistic,,0.0026425709727570155,0.5313244237183632,-0.5286818527456062,-0.6331948636180406,-0.4275382588825586,0.004973554489107679,0.0037564206637124356,0.006708026884404986,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,96,transformer,none,mechanistic,,0.0038172295540544036,0.7447897696842862,-0.7409725401302318,-0.8813789726607906,-0.6052099984519609,0.005125244343343376,0.003445511752427491,0.00734141490205183,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,64,transformer,response_matched,mechanistic,,1.2867876219691017,0.5686829936930753,0.7181046282760264,0.25863142729711464,1.175103168332833,2.2627503129864928,1.4385211876503023,3.201073096024802,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,96,transformer,response_matched,mechanistic,,1.6637708274325511,0.7019240169255561,0.961846810506995,0.2685922364266924,1.646654737336211,2.3703004702986328,1.3658393133481102,3.543463757086854,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,64,transformer,response_matched,mechanistic,,0.005363435797302696,0.5313244237183632,-0.5259609879210605,-0.6297991494124414,-0.42559600108750667,0.010094464997049841,0.008372235735527749,0.012140889975231935,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,96,transformer,response_matched,mechanistic,,0.0070622351911461155,0.7447897696842862,-0.7377275344931401,-0.8780175590559607,-0.602043955570139,0.009482186086067981,0.00790733908646216,0.011373777425460287,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,64,transformer,smooth,mechanistic,,1.1733013756955895,0.5686829936930753,0.6046183820025142,0.3123396842178822,0.9658223128458083,2.0631905450100967,1.5329878333734055,2.8115986105554827,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
