stage,grid,family,prior,kind,arm,n_seeds,parameter_count,mean_training_validation_seconds,mean_setup_plus_training_plus_bank_seconds,median_inference_ms_per_step,min_inference_ms,max_inference_ms,latency_scope,cost_scope
development,32,burgers,coefficient,fno,smooth,6,209985,41.6963123138994,44.783142329271264,1.2744765845127404,1.2395810568705201,1.3508216012269258,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,burgers,coefficient,looped,iid,6,34049,69.08306386927143,72.1738682622866,1.5383370337076485,1.5376891009509563,1.5424511162564158,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,burgers,coefficient,looped,none,6,34049,39.012222901297115,39.05039693089202,1.5649137669242918,1.5316046075895429,1.615045894868672,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,burgers,coefficient,looped,response_matched,6,34049,69.0717775109224,72.16294071171433,1.5405815443955362,1.539208902977407,1.5637143980711699,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,burgers,coefficient,looped,smooth,6,34049,69.4088247505327,72.49963433171312,1.5538573265075684,1.5378971118479967,1.5877983998507261,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,burgers,coefficient,transformer,iid,6,100993,72.69828271322574,75.79325524523544,1.5397716546431184,1.52425488922745,1.5594073804095387,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,burgers,coefficient,transformer,none,6,100993,43.58832743616464,43.630592009751126,1.5387109015136957,1.5354884089902043,1.6593673964962363,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,burgers,coefficient,transformer,response_matched,6,100993,72.81695752668504,75.91196773309882,1.5378066571429372,1.535859890282154,1.546667399816215,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,burgers,coefficient,transformer,smooth,6,100993,73.29967685625888,76.39466220947604,1.5381196630187333,1.5213004080578685,1.541631412692368,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,burgers,correct,fno,iid,6,209985,41.76643800168919,44.832169696533434,1.2506848550401628,1.238257042132318,1.402056566439569,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,burgers,correct,fno,none,6,209985,24.974350878891226,25.010247424710542,1.2510888278484344,1.2257130583748221,1.2941250577569008,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,burgers,correct,fno,response_matched,6,209985,42.00548887128631,45.07094484521076,1.2453735806047916,1.2272425927221775,1.3916580937802792,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,burgers,correct,fno,smooth,6,209985,42.36106056052571,45.426626055579014,1.2773475958965719,1.241544564254582,1.5454156091436744,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,burgers,correct,looped,iid,6,34049,70.34002730025288,73.40975614124909,1.5411196509376168,1.5376149443909526,1.5707639046013355,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,burgers,correct,looped,none,6,34049,39.26055950873221,39.29905022261664,1.5385346487164497,1.525806961581111,1.587005378678441,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,burgers,correct,looped,response_matched,6,34049,69.06154850358143,72.13113929098472,1.5413084183819592,1.5209679026156664,1.6868239035829902,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,burgers,correct,looped,smooth,6,34049,69.63273873203434,72.7024206748077,1.5413571847602725,1.5362134436145425,1.5769643941894174,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,burgers,correct,transformer,iid,6,100993,73.08153712524411,76.15521648681413,1.5363703947514296,1.5225989045575261,1.7064083833247423,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,burgers,correct,transformer,none,6,100993,44.18545188956583,44.22919861793829,1.5535904210992157,1.5329454094171524,1.6108924057334661,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,burgers,correct,transformer,response_matched,6,100993,72.95600936794654,76.02985936193727,1.5406874008476734,1.5212238999083638,1.5439888928085566,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,burgers,correct,transformer,smooth,6,100993,73.78602075654392,76.86013833068621,1.5389379113912582,1.5344993909820914,1.6435713972896338,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,gray_scott,coefficient,fno,iid,6,210306,42.05564064136706,45.552131966610126,1.261874008923769,1.2477239361032844,1.306655490770936,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,gray_scott,coefficient,fno,none,6,210306,25.045804808847606,25.080757798704628,1.2757554417476058,1.2496234849095345,1.3397794449701905,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,gray_scott,coefficient,fno,response_matched,6,210306,42.49532724909174,45.99199266009964,1.2567032012157142,1.2518594972789288,1.5780169516801834,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,gray_scott,coefficient,fno,smooth,6,210306,42.163343978502475,45.660141976860665,1.25428750179708,1.2493049493059516,1.3141554314643145,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
