family,kind,prior,seed,split,policy,selected_arm,estimated_training_seconds,selected_inference_ms_per_step
advection_diffusion,looped,correct,303,development_lofo,best_fixed,smooth,71.12251827167347,1.5406915917992592
advection_diffusion,looped,correct,303,development_lofo,hand_rule,none,40.27553346939385,1.5357850585132837
advection_diffusion,looped,correct,303,development_lofo,none,none,38.960780426394194,1.5357850585132837
advection_diffusion,looped,correct,303,development_lofo,probe_best,response_matched,83.59000043803826,1.5370815992355347
advection_diffusion,looped,correct,303,development_lofo,random,iid,71.22407552041113,1.5378976007923484
advection_diffusion,looped,correct,303,development_lofo,ridge_selector,none,55.37552241701633,1.5357850585132837
advection_diffusion,looped,correct,303,development_lofo,full_validation,iid,249.77132651163265,1.5378976007923484
advection_diffusion,looped,correct,404,development_lofo,always_smooth,smooth,69.82487739622593,1.535919588059187
advection_diffusion,looped,correct,404,development_lofo,best_fixed,smooth,69.82487739622593,1.535919588059187
advection_diffusion,looped,correct,404,development_lofo,hand_rule,none,39.116176535375416,1.5416021225973964
advection_diffusion,looped,correct,404,development_lofo,none,none,37.79154381621629,1.5416021225973964
advection_diffusion,looped,correct,404,development_lofo,probe_best,response_matched,85.23443992203102,1.5393601031973958
advection_diffusion,looped,correct,404,development_lofo,random,none,37.79154381621629,1.5416021225973964
advection_diffusion,looped,correct,404,development_lofo,ridge_selector,none,53.98813299136236,1.5416021225973964
advection_diffusion,looped,correct,404,development_lofo,full_validation,iid,248.18209731252864,1.5348916174843907
advection_diffusion,looped,correct,505,development_lofo,always_smooth,smooth,72.10984078561887,1.540901605039835
advection_diffusion,looped,correct,505,development_lofo,best_fixed,smooth,72.10984078561887,1.540901605039835
advection_diffusion,looped,correct,505,development_lofo,hand_rule,none,40.2856239778921,1.5412160893902183
advection_diffusion,looped,correct,505,development_lofo,none,none,38.959291741251945,1.5412160893902183
advection_diffusion,looped,correct,505,development_lofo,probe_best,response_matched,84.71649032458663,1.537397550418973
advection_diffusion,looped,correct,505,development_lofo,random,smooth,72.10984078561887,1.540901605039835
advection_diffusion,looped,correct,505,development_lofo,ridge_selector,none,56.2732350602746,1.5412160893902183
advection_diffusion,looped,correct,505,development_lofo,full_validation,iid,251.32217302778736,1.5405391110107303
advection_diffusion,looped,correct,606,development_lofo,always_smooth,smooth,72.38211325276643,1.5476101078093052
advection_diffusion,looped,correct,606,development_lofo,best_fixed,smooth,72.38211325276643,1.5476101078093052
advection_diffusion,looped,correct,606,development_lofo,hand_rule,none,39.95127171557397,1.536760595627129
advection_diffusion,looped,correct,606,development_lofo,none,none,38.6315919496119,1.536760595627129
advection_diffusion,looped,correct,606,development_lofo,probe_best,response_matched,85.7497956380248,1.5376175520941615
advection_diffusion,looped,correct,606,development_lofo,random,iid,72.25952280685306,1.5418455470353365
advection_diffusion,looped,correct,606,development_lofo,ridge_selector,none,55.79159688251093,1.536760595627129
advection_diffusion,looped,correct,606,development_lofo,full_validation,iid,253.04136581905186,1.5418455470353365
advection_diffusion,transformer,coefficient,101,development_lofo,always_smooth,smooth,75.30323403142393,1.53115454595536
advection_diffusion,transformer,coefficient,101,development_lofo,best_fixed,smooth,75.30323403142393,1.53115454595536
advection_diffusion,transformer,coefficient,101,development_lofo,hand_rule,none,45.17857578350231,1.5311040915548801
advection_diffusion,transformer,coefficient,101,development_lofo,none,none,43.84480353584513,1.5311040915548801
advection_diffusion,transformer,coefficient,101,development_lofo,probe_best,response_matched,87.6076523703523,1.5313481213524938
advection_diffusion,transformer,coefficient,101,development_lofo,random,response_matched,73.31478737900034,1.5313481213524938
advection_diffusion,transformer,coefficient,101,development_lofo,ridge_selector,none,61.77600254258141,1.5311040915548801
advection_diffusion,transformer,coefficient,101,development_lofo,full_validation,none,265.1186939962208,1.5311040915548801
advection_diffusion,transformer,coefficient,202,development_lofo,always_smooth,smooth,75.26931402180344,1.5348280780017376
advection_diffusion,transformer,coefficient,202,development_lofo,best_fixed,smooth,75.26931402180344,1.5348280780017376
advection_diffusion,transformer,coefficient,202,development_lofo,hand_rule,none,43.98612401774153,1.5319730620831251
advection_diffusion,transformer,coefficient,202,development_lofo,none,none,42.66814412968233,1.5319730620831251
advection_diffusion,transformer,coefficient,202,development_lofo,probe_best,response_matched,88.13025893876329,1.5165646094828844
