family,kind,prior,seed,policy,arm,checkpoint,split,horizon,mean_capped_mse,diverged_trajectories,trajectories,regret_log_ratio_to_test_oracle
advection_diffusion,fno,correct,202,none,none,validation_best,ood,64,0.05231035736883882,0,64,
advection_diffusion,fno,correct,202,probe_best,smooth,validation_best,test,64,8.978749548853651e-05,0,64,0.0
advection_diffusion,fno,correct,202,probe_best,smooth,validation_best,ood,64,0.03102888834634432,0,64,
advection_diffusion,fno,correct,202,random,response_matched,validation_best,test,64,0.00019330039586912262,0,64,0.766799717003319
advection_diffusion,fno,correct,202,random,response_matched,validation_best,ood,64,0.039253769990351906,0,64,
advection_diffusion,fno,correct,202,ridge_selector,none,validation_best,test,64,0.00035551681889245054,0,64,1.3761268414882402
advection_diffusion,fno,correct,202,ridge_selector,none,validation_best,ood,64,0.05231035736883882,0,64,
advection_diffusion,fno,correct,202,full_validation,smooth,validation_best,test,64,8.978749548853651e-05,0,64,0.0
advection_diffusion,fno,correct,202,full_validation,smooth,validation_best,ood,64,0.03102888834634432,0,64,
advection_diffusion,fno,correct,303,always_smooth,smooth,validation_best,test,64,0.00017737514853174811,0,64,0.0
advection_diffusion,fno,correct,303,always_smooth,smooth,validation_best,ood,64,0.060795086553145694,0,64,
advection_diffusion,fno,correct,303,best_fixed,smooth,validation_best,test,64,0.00017737514853174811,0,64,0.0
advection_diffusion,fno,correct,303,best_fixed,smooth,validation_best,ood,64,0.060795086553145694,0,64,
advection_diffusion,fno,correct,303,hand_rule,none,validation_best,test,64,0.0002901508638015332,0,64,0.492134034847952
advection_diffusion,fno,correct,303,hand_rule,none,validation_best,ood,64,0.07353592856136126,0,64,
advection_diffusion,fno,correct,303,none,none,validation_best,test,64,0.0002901508638015332,0,64,0.492134034847952
advection_diffusion,fno,correct,303,none,none,validation_best,ood,64,0.07353592856136126,0,64,
advection_diffusion,fno,correct,303,probe_best,response_matched,validation_best,test,64,0.00021087139838335545,0,64,0.1729814884599155
advection_diffusion,fno,correct,303,probe_best,response_matched,validation_best,ood,64,0.053289418485347184,0,64,
advection_diffusion,fno,correct,303,random,iid,validation_best,test,64,0.00022586738865324613,0,64,0.2416810783120018
advection_diffusion,fno,correct,303,random,iid,validation_best,ood,64,0.059273090828282804,0,64,
advection_diffusion,fno,correct,303,ridge_selector,none,validation_best,test,64,0.0002901508638015332,0,64,0.492134034847952
advection_diffusion,fno,correct,303,ridge_selector,none,validation_best,ood,64,0.07353592856136126,0,64,
advection_diffusion,fno,correct,303,full_validation,smooth,validation_best,test,64,0.00017737514853174811,0,64,0.0
advection_diffusion,fno,correct,303,full_validation,smooth,validation_best,ood,64,0.060795086553145694,0,64,
advection_diffusion,fno,correct,404,always_smooth,smooth,validation_best,test,64,0.00012446663784243528,0,64,0.0
advection_diffusion,fno,correct,404,always_smooth,smooth,validation_best,ood,64,0.04801332001853953,0,64,
advection_diffusion,fno,correct,404,best_fixed,smooth,validation_best,test,64,0.00012446663784243528,0,64,0.0
advection_diffusion,fno,correct,404,best_fixed,smooth,validation_best,ood,64,0.04801332001853953,0,64,
advection_diffusion,fno,correct,404,hand_rule,none,validation_best,test,64,0.0003585674580624393,0,64,1.0580790990137723
advection_diffusion,fno,correct,404,hand_rule,none,validation_best,ood,64,0.12521737136887534,0,64,
advection_diffusion,fno,correct,404,none,none,validation_best,test,64,0.0003585674580624393,0,64,1.0580790990137723
advection_diffusion,fno,correct,404,none,none,validation_best,ood,64,0.12521737136887534,0,64,
advection_diffusion,fno,correct,404,probe_best,response_matched,validation_best,test,64,0.00018440419268615088,0,64,0.3930923369135626
advection_diffusion,fno,correct,404,probe_best,response_matched,validation_best,ood,64,0.03165562716361603,0,64,
advection_diffusion,fno,correct,404,random,response_matched,validation_best,test,64,0.00018440419268615088,0,64,0.3930923369135626
advection_diffusion,fno,correct,404,random,response_matched,validation_best,ood,64,0.03165562716361603,0,64,
advection_diffusion,fno,correct,404,ridge_selector,none,validation_best,test,64,0.0003585674580624393,0,64,1.0580790990137723
advection_diffusion,fno,correct,404,ridge_selector,none,validation_best,ood,64,0.12521737136887534,0,64,
advection_diffusion,fno,correct,404,full_validation,smooth,validation_best,test,64,0.00012446663784243528,0,64,0.0
advection_diffusion,fno,correct,404,full_validation,smooth,validation_best,ood,64,0.04801332001853953,0,64,
advection_diffusion,fno,correct,505,always_smooth,smooth,validation_best,test,64,0.00011880787617275443,0,64,0.0
advection_diffusion,fno,correct,505,always_smooth,smooth,validation_best,ood,64,0.03608203592197945,0,64,
advection_diffusion,fno,correct,505,best_fixed,smooth,validation_best,test,64,0.00011880787617275443,0,64,0.0
advection_diffusion,fno,correct,505,best_fixed,smooth,validation_best,ood,64,0.03608203592197945,0,64,
advection_diffusion,fno,correct,505,hand_rule,none,validation_best,test,64,0.0006598034868655449,0,64,1.7144343410232585
advection_diffusion,fno,correct,505,hand_rule,none,validation_best,ood,64,0.027658752935347808,0,64,
advection_diffusion,fno,correct,505,none,none,validation_best,test,64,0.0006598034868655449,0,64,1.7144343410232585
advection_diffusion,fno,correct,505,none,none,validation_best,ood,64,0.027658752935347808,0,64,
advection_diffusion,fno,correct,505,probe_best,response_matched,validation_best,test,64,0.00018072229072063628,0,64,0.4194538451187889
advection_diffusion,fno,correct,505,probe_best,response_matched,validation_best,ood,64,0.06057952244068687,0,64,
advection_diffusion,fno,correct,505,random,iid,validation_best,test,64,0.00018044211404702123,0,64,0.41790232605368366
advection_diffusion,fno,correct,505,random,iid,validation_best,ood,64,0.027129679670391482,0,64,
advection_diffusion,fno,correct,505,ridge_selector,none,validation_best,test,64,0.0006598034868655449,0,64,1.7144343410232585
advection_diffusion,fno,correct,505,ridge_selector,none,validation_best,ood,64,0.027658752935347808,0,64,
advection_diffusion,fno,correct,505,full_validation,smooth,validation_best,test,64,0.00011880787617275443,0,64,0.0
advection_diffusion,fno,correct,505,full_validation,smooth,validation_best,ood,64,0.03608203592197945,0,64,
advection_diffusion,fno,correct,606,always_smooth,smooth,validation_best,test,64,0.00013055074699245238,0,64,0.0
advection_diffusion,fno,correct,606,always_smooth,smooth,validation_best,ood,64,0.023588346909009905,0,64,
advection_diffusion,fno,correct,606,best_fixed,smooth,validation_best,test,64,0.00013055074699245238,0,64,0.0
advection_diffusion,fno,correct,606,best_fixed,smooth,validation_best,ood,64,0.023588346909009905,0,64,
advection_diffusion,fno,correct,606,hand_rule,none,validation_best,test,64,0.00036427006463112324,0,64,1.026133511316743
advection_diffusion,fno,correct,606,hand_rule,none,validation_best,ood,64,0.04755869109274258,0,64,
advection_diffusion,fno,correct,606,none,none,validation_best,test,64,0.00036427006463112324,0,64,1.026133511316743
advection_diffusion,fno,correct,606,none,none,validation_best,ood,64,0.04755869109274258,0,64,
advection_diffusion,fno,correct,606,probe_best,response_matched,validation_best,test,64,0.0003632360132421811,0,64,1.023290780192572
advection_diffusion,fno,correct,606,probe_best,response_matched,validation_best,ood,64,0.013207142821029638,0,64,
advection_diffusion,fno,correct,606,random,smooth,validation_best,test,64,0.00013055074699245238,0,64,0.0
advection_diffusion,fno,correct,606,random,smooth,validation_best,ood,64,0.023588346909009905,0,64,
advection_diffusion,fno,correct,606,ridge_selector,none,validation_best,test,64,0.00036427006463112324,0,64,1.026133511316743
advection_diffusion,fno,correct,606,ridge_selector,none,validation_best,ood,64,0.04755869109274258,0,64,
advection_diffusion,fno,correct,606,full_validation,smooth,validation_best,test,64,0.00013055074699245238,0,64,0.0
advection_diffusion,fno,correct,606,full_validation,smooth,validation_best,ood,64,0.023588346909009905,0,64,
advection_diffusion,looped,coefficient,101,always_smooth,smooth,validation_best,test,64,0.014562555770465835,0,64,0.9271840325241808
advection_diffusion,looped,coefficient,101,always_smooth,smooth,validation_best,ood,64,2.326149369114603,0,64,
advection_diffusion,looped,coefficient,101,best_fixed,smooth,validation_best,test,64,0.014562555770465835,0,64,0.9271840325241808
advection_diffusion,looped,coefficient,101,best_fixed,smooth,validation_best,ood,64,2.326149369114603,0,64,
advection_diffusion,looped,coefficient,101,hand_rule,none,validation_best,test,64,0.005761912947575221,0,64,0.0
advection_diffusion,looped,coefficient,101,hand_rule,none,validation_best,ood,64,3.0162991526151472,0,64,
advection_diffusion,looped,coefficient,101,none,none,validation_best,test,64,0.005761912947575221,0,64,0.0
advection_diffusion,looped,coefficient,101,none,none,validation_best,ood,64,3.0162991526151472,0,64,
advection_diffusion,looped,coefficient,101,probe_best,response_matched,validation_best,test,64,0.00881331150463982,0,64,0.424993721005733
advection_diffusion,looped,coefficient,101,probe_best,response_matched,validation_best,ood,64,2.2201388150187995,0,64,
advection_diffusion,looped,coefficient,101,random,response_matched,validation_best,test,64,0.00881331150463982,0,64,0.424993721005733
advection_diffusion,looped,coefficient,101,random,response_matched,validation_best,ood,64,2.2201388150187995,0,64,
advection_diffusion,looped,coefficient,101,ridge_selector,none,validation_best,test,64,0.005761912947575221,0,64,0.0
advection_diffusion,looped,coefficient,101,ridge_selector,none,validation_best,ood,64,3.0162991526151472,0,64,
advection_diffusion,looped,coefficient,101,full_validation,none,validation_best,test,64,0.005761912947575221,0,64,0.0
advection_diffusion,looped,coefficient,101,full_validation,none,validation_best,ood,64,3.0162991526151472,0,64,
advection_diffusion,looped,coefficient,202,always_smooth,smooth,validation_best,test,64,0.9496447077555716,0,64,6.0948966411878045
advection_diffusion,looped,coefficient,202,always_smooth,smooth,validation_best,ood,64,8.614440481458075,0,64,
advection_diffusion,looped,coefficient,202,best_fixed,smooth,validation_best,test,64,0.9496447077555716,0,64,6.0948966411878045
advection_diffusion,looped,coefficient,202,best_fixed,smooth,validation_best,ood,64,8.614440481458075,0,64,
advection_diffusion,looped,coefficient,202,hand_rule,none,validation_best,test,64,0.002140825027523885,0,64,0.0
advection_diffusion,looped,coefficient,202,hand_rule,none,validation_best,ood,64,1.034490339476065,0,64,
advection_diffusion,looped,coefficient,202,none,none,validation_best,test,64,0.002140825027523885,0,64,0.0
advection_diffusion,looped,coefficient,202,none,none,validation_best,ood,64,1.034490339476065,0,64,
advection_diffusion,looped,coefficient,202,probe_best,none,validation_best,test,64,0.002140825027523885,0,64,0.0
advection_diffusion,looped,coefficient,202,probe_best,none,validation_best,ood,64,1.034490339476065,0,64,
advection_diffusion,looped,coefficient,202,random,iid,validation_best,test,64,0.014188866384031051,0,64,1.8912663179927167
advection_diffusion,looped,coefficient,202,random,iid,validation_best,ood,64,3.5862631469188386,0,64,
advection_diffusion,looped,coefficient,202,ridge_selector,none,validation_best,test,64,0.002140825027523885,0,64,0.0
advection_diffusion,looped,coefficient,202,ridge_selector,none,validation_best,ood,64,1.034490339476065,0,64,
advection_diffusion,looped,coefficient,202,full_validation,none,validation_best,test,64,0.002140825027523885,0,64,0.0
advection_diffusion,looped,coefficient,202,full_validation,none,validation_best,ood,64,1.034490339476065,0,64,
advection_diffusion,looped,coefficient,303,always_smooth,smooth,validation_best,test,64,0.013107037625500029,0,64,1.451030982393982
advection_diffusion,looped,coefficient,303,always_smooth,smooth,validation_best,ood,64,1.2811172568320615,0,64,
advection_diffusion,looped,coefficient,303,best_fixed,smooth,validation_best,test,64,0.013107037625500029,0,64,1.451030982393982
advection_diffusion,looped,coefficient,303,best_fixed,smooth,validation_best,ood,64,1.2811172568320615,0,64,
advection_diffusion,looped,coefficient,303,hand_rule,none,validation_best,test,64,0.0030713534476689563,0,64,0.0
advection_diffusion,looped,coefficient,303,hand_rule,none,validation_best,ood,64,1.1674834778054333,0,64,
advection_diffusion,looped,coefficient,303,none,none,validation_best,test,64,0.0030713534476689563,0,64,0.0
advection_diffusion,looped,coefficient,303,none,none,validation_best,ood,64,1.1674834778054333,0,64,
advection_diffusion,looped,coefficient,303,probe_best,response_matched,validation_best,test,64,0.00785671374121577,0,64,0.9392500930504619
advection_diffusion,looped,coefficient,303,probe_best,response_matched,validation_best,ood,64,0.698141179449749,0,64,
advection_diffusion,looped,coefficient,303,random,response_matched,validation_best,test,64,0.00785671374121577,0,64,0.9392500930504619
advection_diffusion,looped,coefficient,303,random,response_matched,validation_best,ood,64,0.698141179449749,0,64,
advection_diffusion,looped,coefficient,303,ridge_selector,none,validation_best,test,64,0.0030713534476689563,0,64,0.0
