family,kind,prior,seed,arm,checkpoint,split,horizon,mean_capped_mse,diverged_trajectories,capped_trajectories,trajectories,parameter_count,inference_ms_per_step
advection_diffusion,fno,coefficient,404,response_matched,final_step,test,64,0.3679598607317674,0,0,64,209985,
advection_diffusion,fno,coefficient,404,response_matched,final_step,test,96,0.6081741679362893,0,0,64,209985,
advection_diffusion,fno,coefficient,404,response_matched,validation_best,ood,64,0.04457576694531662,0,0,64,209985,1.2301225680857897
advection_diffusion,fno,coefficient,404,response_matched,validation_best,ood,96,0.06957998274892585,0,0,64,209985,1.2301225680857897
advection_diffusion,fno,coefficient,404,response_matched,final_step,ood,64,0.3981910339758279,0,0,64,209985,
advection_diffusion,fno,coefficient,404,response_matched,final_step,ood,96,0.5914417704373567,0,0,64,209985,
advection_diffusion,fno,coefficient,404,smooth,validation_best,test,64,0.0030117569833060798,0,0,64,209985,1.240657060407102
advection_diffusion,fno,coefficient,404,smooth,validation_best,test,96,0.004653094942474531,0,0,64,209985,1.240657060407102
advection_diffusion,fno,coefficient,404,smooth,final_step,test,64,0.007156309137258482,0,0,64,209985,
advection_diffusion,fno,coefficient,404,smooth,final_step,test,96,0.011417255794290038,0,0,64,209985,
advection_diffusion,fno,coefficient,404,smooth,validation_best,ood,64,0.007585606816043922,0,0,64,209985,1.240657060407102
advection_diffusion,fno,coefficient,404,smooth,validation_best,ood,96,0.010950552252396422,0,0,64,209985,1.240657060407102
advection_diffusion,fno,coefficient,404,smooth,final_step,ood,64,0.007590468493529207,0,0,64,209985,
advection_diffusion,fno,coefficient,404,smooth,final_step,ood,96,0.011469306429790771,0,0,64,209985,
advection_diffusion,fno,coefficient,505,iid,validation_best,test,64,0.0020426612235107527,0,0,64,209985,1.2466285144910216
advection_diffusion,fno,coefficient,505,iid,validation_best,test,96,0.002760406941316397,0,0,64,209985,1.2466285144910216
advection_diffusion,fno,coefficient,505,iid,final_step,test,64,0.22569303522655196,0,0,64,209985,
advection_diffusion,fno,coefficient,505,iid,final_step,test,96,0.38897689965917215,0,0,64,209985,
advection_diffusion,fno,coefficient,505,iid,validation_best,ood,64,0.01689242402942004,0,0,64,209985,1.2466285144910216
advection_diffusion,fno,coefficient,505,iid,validation_best,ood,96,0.023440046857685415,0,0,64,209985,1.2466285144910216
advection_diffusion,fno,coefficient,505,iid,final_step,ood,64,0.3049231801602623,0,0,64,209985,
advection_diffusion,fno,coefficient,505,iid,final_step,ood,96,0.4656211877475135,0,0,64,209985,
advection_diffusion,fno,coefficient,505,none,validation_best,test,64,0.0002773606836174447,0,0,64,209985,1.2418200494721532
