job_id,stage,family,prior,grid,split,horizon,n_trajectories,primary_horizon,method,failed_trajectories,cap_affected_trajectories,nonfinite_steps,raw_mean_nmse
resolution_g32__advection_diffusion__correct,resolution_g32,advection_diffusion,correct,32,test,64,64,True,persistence,0,0,0,2.2844336556730696
resolution_g32__advection_diffusion__correct,resolution_g32,advection_diffusion,correct,32,test,96,64,False,calibrated,0,0,0,7.291607886040979e-12
resolution_g32__advection_diffusion__correct,resolution_g32,advection_diffusion,correct,32,test,96,64,False,uncalibrated,0,0,0,7.291607886040979e-12
resolution_g32__advection_diffusion__correct,resolution_g32,advection_diffusion,correct,32,test,96,64,False,persistence,0,0,0,2.283803766808812
resolution_g32__advection_diffusion__correct,resolution_g32,advection_diffusion,correct,32,ood,64,64,True,calibrated,0,0,0,2.232394453415835e-12
resolution_g32__advection_diffusion__correct,resolution_g32,advection_diffusion,correct,32,ood,64,64,True,uncalibrated,0,0,0,2.232394453415835e-12
resolution_g32__advection_diffusion__correct,resolution_g32,advection_diffusion,correct,32,ood,64,64,True,persistence,0,0,0,1.3504375143737093
resolution_g32__advection_diffusion__correct,resolution_g32,advection_diffusion,correct,32,ood,96,64,False,calibrated,0,0,0,3.3566038316843385e-12
resolution_g32__advection_diffusion__correct,resolution_g32,advection_diffusion,correct,32,ood,96,64,False,uncalibrated,0,0,0,3.3566038316843385e-12
resolution_g32__advection_diffusion__correct,resolution_g32,advection_diffusion,correct,32,ood,96,64,False,persistence,0,0,0,1.3387318525388234
resolution_g32__allen_cahn__coefficient,resolution_g32,allen_cahn,coefficient,32,test,64,64,True,calibrated,0,0,0,4.7710586613342635e-12
resolution_g32__allen_cahn__coefficient,resolution_g32,allen_cahn,coefficient,32,test,64,64,True,uncalibrated,0,0,0,0.00638033190255527
resolution_g32__allen_cahn__coefficient,resolution_g32,allen_cahn,coefficient,32,test,64,64,True,persistence,0,0,0,0.036377052636412444
resolution_g32__allen_cahn__coefficient,resolution_g32,allen_cahn,coefficient,32,test,96,64,False,calibrated,0,0,0,6.465897089916651e-12
resolution_g32__allen_cahn__coefficient,resolution_g32,allen_cahn,coefficient,32,test,96,64,False,uncalibrated,0,0,0,0.007134198511451472
resolution_g32__allen_cahn__coefficient,resolution_g32,allen_cahn,coefficient,32,test,96,64,False,persistence,0,0,0,0.04256250602127546
resolution_g32__allen_cahn__coefficient,resolution_g32,allen_cahn,coefficient,32,ood,64,64,True,calibrated,0,0,0,1.7187082322514544e-11
resolution_g32__allen_cahn__coefficient,resolution_g32,allen_cahn,coefficient,32,ood,64,64,True,uncalibrated,0,0,0,0.005149319320860712
resolution_g32__allen_cahn__coefficient,resolution_g32,allen_cahn,coefficient,32,ood,64,64,True,persistence,0,0,0,0.022562869018956655
resolution_g32__allen_cahn__coefficient,resolution_g32,allen_cahn,coefficient,32,ood,96,64,False,calibrated,0,0,0,1.816271013113061e-11
resolution_g32__allen_cahn__coefficient,resolution_g32,allen_cahn,coefficient,32,ood,96,64,False,uncalibrated,0,0,0,0.005111017803668479
resolution_g32__allen_cahn__coefficient,resolution_g32,allen_cahn,coefficient,32,ood,96,64,False,persistence,0,0,0,0.028976578512636797
resolution_g32__allen_cahn__correct,resolution_g32,allen_cahn,correct,32,test,64,64,True,calibrated,0,0,0,4.798206410914103e-12
resolution_g32__allen_cahn__correct,resolution_g32,allen_cahn,correct,32,test,64,64,True,uncalibrated,0,0,0,1.8868275307629117e-12
resolution_g32__allen_cahn__correct,resolution_g32,allen_cahn,correct,32,test,64,64,True,persistence,0,0,0,0.036377052636412444
resolution_g32__allen_cahn__correct,resolution_g32,allen_cahn,correct,32,test,96,64,False,calibrated,0,0,0,6.466233021847084e-12
resolution_g32__allen_cahn__correct,resolution_g32,allen_cahn,correct,32,test,96,64,False,uncalibrated,0,0,0,2.1930481256728145e-12
